longitude,latitude,annotation
-17.77529,25.16202,outdoor
-17.77529,25.16202,outdoor
-17.7753,25.16202,outdoor
-17.7753,25.16202,outdoor
-17.77532,25.16204,outdoor
-17.77533,25.16204,outdoor
-17.77534,25.16204,outdoor
-17.77535,25.16204,outdoor
-17.77536,25.16205,outdoor
-17.77536,25.16204,outdoor
-17.77535,25.16204,outdoor
-17.77535,25.16203,outdoor
-17.77536,25.16204,outdoor
-17.77536,25.16204,outdoor
-17.77532,25.16205,outdoor
-17.77528,25.16204,outdoor
-17.77523,25.16204,outdoor
-17.77524,25.16204,outdoor
-17.77524,25.16204,outdoor
-17.77525,25.16204,outdoor
-17.77526,25.16205,outdoor
-17.77526,25.16205,outdoor
-17.77527,25.16205,outdoor
-17.77527,25.16206,outdoor
-17.77528,25.16206,outdoor
-17.77529,25.16206,outdoor
-17.77529,25.16207,outdoor
-17.7753,25.16207,outdoor
-17.7753,25.16207,outdoor
-17.77531,25.16208,outdoor
-17.77532,25.16208,outdoor
-17.77532,25.16208,outdoor
-17.77533,25.16209,outdoor
-17.77533,25.16209,outdoor
-17.77534,25.16209,outdoor
-17.77535,25.16209,outdoor
-17.77535,25.1621,outdoor
-17.77536,25.1621,outdoor
-17.77537,25.1621,outdoor
-17.77538,25.1621,outdoor
-17.77539,25.16209,outdoor
-17.7754,25.16209,outdoor
-17.77541,25.16209,outdoor
-17.77542,25.16208,outdoor
-17.77543,25.16208,outdoor
-17.77544,25.16208,outdoor
-17.77545,25.16207,outdoor
-17.77545,25.16207,outdoor
-17.77546,25.16206,outdoor
-17.77547,25.16206,outdoor
-17.77548,25.16206,outdoor
-17.77549,25.16205,outdoor
-17.7755,25.16205,outdoor
-17.77551,25.16204,outdoor
-17.77553,25.16203,outdoor
-17.77554,25.16203,outdoor
-17.77554,25.16202,outdoor
-17.77555,25.16202,outdoor
-17.77556,25.16201,outdoor
-17.77557,25.16201,outdoor
-17.77558,25.162,outdoor
-17.77558,25.16199,outdoor
-17.77559,25.16199,outdoor
-17.7756,25.16198,outdoor
-17.7756,25.16198,outdoor
-17.77561,25.16197,outdoor
-17.77562,25.16196,outdoor
-17.77563,25.16195,outdoor
-17.77563,25.16195,outdoor
-17.77564,25.16194,outdoor
-17.77565,25.16193,outdoor
-17.77566,25.16193,outdoor
-17.77567,25.16192,outdoor
-17.77567,25.16192,outdoor
-17.77568,25.16191,outdoor
-17.77569,25.1619,outdoor
-17.7757,25.1619,outdoor
-17.77572,25.1619,outdoor
-17.77572,25.16191,outdoor
-17.77573,25.16191,outdoor
-17.77574,25.1619,outdoor
-17.77574,25.1619,outdoor
-17.77576,25.16189,outdoor
-17.77577,25.16189,outdoor
-17.77577,25.16189,outdoor
-17.77578,25.16189,outdoor
-17.77579,25.16188,outdoor
-17.7758,25.16188,outdoor
-17.77581,25.16187,outdoor
-17.77582,25.16187,outdoor
-17.77583,25.16186,outdoor
-17.77584,25.16185,outdoor
-17.77584,25.16184,outdoor
-17.77585,25.16183,outdoor
-17.77586,25.16181,outdoor
-17.77586,25.16181,outdoor
-17.77587,25.1618,outdoor
-17.77588,25.16179,outdoor
-17.77589,25.16178,outdoor
-17.7759,25.16178,outdoor
-17.77591,25.16176,outdoor
-17.77592,25.16176,outdoor
-17.77592,25.16175,outdoor
-17.77594,25.16174,outdoor
-17.77594,25.16174,outdoor
-17.77595,25.16173,outdoor
-17.77597,25.16172,outdoor
-17.77598,25.16172,outdoor
-17.77599,25.16172,outdoor
-17.776,25.16172,outdoor
-17.77601,25.16173,outdoor
-17.77602,25.16173,outdoor
-17.77603,25.16173,outdoor
-17.77604,25.16173,outdoor
-17.77605,25.16172,outdoor
-17.77606,25.16172,outdoor
-17.77607,25.16172,outdoor
-17.77609,25.16173,outdoor
-17.77609,25.16172,outdoor
-17.77609,25.16172,outdoor
-17.7761,25.16171,outdoor
-17.7761,25.16171,outdoor
-17.7761,25.16171,outdoor
-17.77611,25.16171,outdoor
-17.7761,25.16171,outdoor
-17.7761,25.16171,outdoor
-17.7761,25.16171,outdoor
