longitude,latitude,annotation,,,,,,,,,,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.27754,46.590552,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277528,46.590585,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277523,46.59062,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277526,46.590629,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277543,46.590657,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277565,46.59069,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277579,46.590726,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277586,46.590754,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277591,46.590764,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27762,46.590813,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277648,46.590857,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27767,46.590894,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277698,46.590921,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277741,46.590947,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27778,46.590969,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277805,46.590995,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277816,46.591004,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277858,46.591026,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277905,46.591055,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277939,46.591087,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277966,46.591122,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277984,46.591159,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277993,46.591173,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277995,46.591211,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277996,46.591223,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277989,46.591231,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27799,46.59125,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277988,46.59128,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277989,46.591288,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277994,46.591325,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277998,46.591342,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27802,46.591377,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278031,46.591387,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278059,46.591413,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278073,46.591443,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278078,46.591452,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278095,46.591481,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278101,46.591492,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278147,46.591515,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278164,46.591521,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278211,46.591533,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278228,46.591536,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278293,46.591543,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278322,46.591544,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27838,46.591543,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278446,46.591549,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278519,46.591561,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278579,46.591573,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278639,46.59159,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278681,46.591604,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278688,46.591624,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278683,46.591636,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278678,46.591647,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278653,46.591668,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27864,46.591673,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278597,46.59168,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278579,46.591685,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278561,46.59169,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278542,46.591695,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278507,46.59171,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278499,46.591713,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278497,46.591714,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278497,46.591714,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278506,46.591743,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278492,46.591762,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278486,46.59177,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27848,46.591777,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278462,46.59179,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278449,46.591806,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27847,46.591816,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278489,46.591815,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278509,46.591814,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278549,46.59181,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278575,46.591812,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278582,46.591815,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278588,46.591817,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278593,46.591833,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278597,46.591839,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278601,46.591845,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278605,46.59185,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278609,46.591856,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278613,46.591862,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278617,46.591868,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278621,46.591874,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278625,46.59188,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278644,46.591912,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278649,46.591923,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278639,46.591964,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278655,46.591993,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278664,46.592,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278681,46.592009,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278699,46.592018,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278724,46.592051,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27873,46.592068,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278743,46.592099,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278773,46.592123,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278809,46.59215,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278863,46.592183,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278883,46.59224,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278897,46.592295,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278909,46.592353,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278918,46.592407,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27893,46.592464,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278955,46.592537,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.278977,46.592608,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279012,46.592676,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279043,46.592743,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27907,46.592817,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279095,46.592876,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279122,46.592935,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279147,46.592992,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279169,46.593047,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.279185,46.593093,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27919,46.593142,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
