longitude,latitude,annotation
-17.82415,24.94947,outdoor
-17.82415,24.94951,outdoor
-17.82415,24.94952,outdoor
-17.82415,24.94954,outdoor
-17.82416,24.94955,outdoor
-17.82416,24.94956,outdoor
-17.82416,24.94956,outdoor
-17.82416,24.94957,outdoor
-17.82416,24.94957,outdoor
-17.82416,24.94958,outdoor
-17.82416,24.94959,outdoor
-17.82417,24.94963,outdoor
-17.82418,24.94965,outdoor
-17.82419,24.94969,outdoor
-17.8242,24.94972,outdoor
-17.82421,24.94975,outdoor
-17.82422,24.94979,outdoor
-17.82422,24.9498,outdoor
-17.82423,24.94983,outdoor
-17.82424,24.94984,outdoor
-17.82425,24.94988,outdoor
-17.82425,24.9499,outdoor
-17.82426,24.94993,outdoor
-17.82427,24.94996,outdoor
-17.82428,24.94999,outdoor
-17.82429,24.95002,outdoor
-17.8243,24.95005,outdoor
-17.82431,24.95008,outdoor
-17.82431,24.95012,outdoor
-17.82432,24.95016,outdoor
-17.82433,24.9502,outdoor
-17.82434,24.95023,outdoor
-17.82435,24.95025,outdoor
-17.82436,24.95028,outdoor
-17.82437,24.95032,outdoor
-17.82437,24.95033,outdoor
-17.82438,24.95037,outdoor
-17.82438,24.95038,outdoor
-17.8244,24.95041,outdoor
-17.8244,24.95042,outdoor
-17.8244,24.95044,outdoor
-17.8244,24.95045,outdoor
-17.8244,24.95045,outdoor
-17.8244,24.95046,outdoor
-17.8244,24.95047,outdoor
-17.8244,24.95047,outdoor
-17.8244,24.95048,outdoor
-17.8244,24.95048,outdoor
-17.8244,24.95049,outdoor
-17.8244,24.95049,outdoor
-17.8244,24.9505,outdoor
-17.8244,24.95051,outdoor
-17.8244,24.95051,outdoor
-17.8244,24.95052,outdoor
-17.8244,24.95052,outdoor
-17.82439,24.95054,outdoor
-17.82439,24.95056,outdoor
-17.82438,24.95059,outdoor
-17.82438,24.9506,outdoor
-17.82437,24.95061,outdoor
-17.82436,24.95062,outdoor
-17.82434,24.95064,outdoor
-17.82433,24.95065,outdoor
-17.8243,24.95067,outdoor
-17.82429,24.95067,outdoor
-17.82426,24.95069,outdoor
-17.82422,24.9507,outdoor
-17.82421,24.9507,outdoor
-17.82418,24.95071,outdoor
-17.82415,24.95072,outdoor
-17.82411,24.95073,outdoor
-17.82409,24.95073,outdoor
-17.82406,24.95074,outdoor
-17.82403,24.95075,outdoor
-17.82399,24.95077,outdoor
-17.82396,24.95078,outdoor
-17.82392,24.9508,outdoor
-17.82388,24.95082,outdoor
-17.82384,24.95084,outdoor
-17.8238,24.95087,outdoor
-17.82376,24.9509,outdoor
-17.82372,24.95093,outdoor
-17.82368,24.95096,outdoor
-17.82364,24.951,outdoor
-17.8236,24.95103,outdoor
-17.82357,24.95106,outdoor
-17.82353,24.95109,outdoor
-17.82349,24.95111,outdoor
-17.82344,24.95114,outdoor
-17.82339,24.95116,outdoor
-17.82334,24.95117,outdoor
-17.82329,24.95119,outdoor
-17.82324,24.95121,outdoor
-17.82319,24.95122,outdoor
-17.82315,24.95123,outdoor
-17.82311,24.95124,outdoor
-17.82306,24.95125,outdoor
-17.82303,24.95126,outdoor
-17.82299,24.95128,outdoor
-17.82295,24.9513,outdoor
-17.82291,24.95132,outdoor
-17.82288,24.95134,outdoor
-17.82285,24.95136,outdoor
-17.82281,24.95137,outdoor
-17.82278,24.95138,outdoor
-17.82275,24.9514,outdoor
-17.82272,24.95142,outdoor
-17.82269,24.95143,outdoor
-17.82266,24.95144,outdoor
-17.82264,24.95146,outdoor
-17.82262,24.95148,outdoor
-17.8226,24.95152,outdoor
-17.8226,24.95153,outdoor
